Name1	Name2	corr
pintar	clima	0.83906074
clima	pintar	0.83906074
smiling_face_with_heart	eyes_e	0.78563696
higiênico	papel	0.62306903
norte	coreano	0.60005882
coreano	norte	0.60005882
ajuda	humanitário	0.51254875
humanitário	ajuda	0.51254875
decretar	emergência	0.50957046
urna	eletrônico	0.50277465
eletrônico	urna	0.50277465
nordeste	praia	0.44619894
praia	nordeste	0.44619894
mão	sangue	0.4312225
sangue	mão	0.4312225
suspender	expulsão	0.42928663
expulsão	suspender	0.42928663
segunda	feira	0.42889976
diplomata	expulsão	0.41957637
expulsão	diplomata	0.41957637
anistia	lei	0.41688533
corte	supremo	0.41388337
supremo	corte	0.41388337
tráfico	droga	0.39327575
droga	tráfico	0.39327575
direito	humano	0.38695242
humano	direito	0.38695242
aéreo	espaço	0.38493373
chefe	inteligência	0.36922001
inteligência	chefe	0.36922001
quinta	feira	0.36081164
óleo	nordeste	0.35693291
nordeste	óleo	0.35693291
comer	cachorro	0.35413045
cachorro	comer	0.35413045
fronteira	cruzar	0.34919751
cruzar	fronteira	0.34919751
refúgio	pedido	0.33668149
pedido	refúgio	0.33668149
sexta	feira	0.33031815
concordar	extraditar	0.32215529
disputar	cão	0.31763946
cão	disputar	0.31763946
pequeno	salário	0.31472486
salário	pequeno	0.31472486
secreto	serviço	0.31347768
embaixada	invasão	0.31166395
invasão	embaixada	0.31166395
pobreza	extremo	0.30872453
extremo	pobreza	0.30872453
sarampo	vacinar	0.30743114
vacinar	sarampo	0.30743114
óleo	praia	0.30364318
praia	óleo	0.30364318
general	extraditar	0.30349816
extraditar	general	0.30349816
comer	lixo	0.302298
lixo	comer	0.302298
recorde	mundial	0.30198702
filho	puto	0.29436909
puto	filho	0.29436909
argentino	chileno	0.29022215
chileno	argentino	0.29022215
fome	passar	0.28632575
passar	fome	0.28632575
decretar	índio	0.27907902
flag_venezuela_e	flag_brazil_e	0.27485288
flag_brazil_e	flag_venezuela_e	0.27485288
saudar	golpista	0.27082524
correr	risco	0.26952968
risco	correr	0.26952968
fome	morrer	0.25834953
morrer	fome	0.25834953
crime	cometer	0.25798836
cometer	crime	0.25798836
social	rede	0.25283036
rede	social	0.25283036
militar	desertar	0.24945397
desertar	militar	0.24945397
fronteira	atravessar	0.24111049
atravessar	fronteira	0.24111049
podre	carne	0.24096267
decretar	chegada	0.24037469
diplomata	suspender	0.2377531
suspender	diplomata	0.2377531
gato	cachorro	0.23641056
menino	pintar	0.23638251
pintar	menino	0.23638251
bolivariano	tirania	0.23625583
tirania	bolivariano	0.23625583
vídeo	gravar	0.23625235
gravar	vídeo	0.23625235
atleta	golpista	0.2362027
libertação	exigir	0.23419701
vitória	comemorar	0.23408526
comemorar	vitória	0.23408526
pressão	aumentar	0.23215557
ar	tirar	0.23208524
moeda	apreender	0.23188785
apreender	moeda	0.23188785
óleo	origem	0.23181135
origem	óleo	0.23181135
derramar	sangue	0.22893451
chefe	tráfico	0.22888103
tráfico	chefe	0.22888103
fraudar	eleição	0.22522509
gato	comer	0.2244356
emergência	chegada	0.22392957
chegada	emergência	0.22392957
menino	clima	0.22371504
clima	menino	0.22371504
óleo	navio	0.22350859
navio	óleo	0.22350859
jornal	papel	0.22001297
papel	jornal	0.22001297
pobreza	linha	0.21992437
linha	pobreza	0.21992437
concordar	espanhol	0.21401487
iraniano	avião	0.21362608
bolívares	moeda	0.20795211
invadir	ensinar	0.20659037
ensinar	invadir	0.20659037
índio	emergência	0.20422641
emergência	índio	0.20422641
defesa	soberania	0.20348591
soberania	defesa	0.20348591
tonelada	ouro	0.20298256
social	abrigar	0.20292259
abrigar	social	0.20292259
arrumar	sábado	0.20168558
sábado	arrumar	0.20168558
ação	abrigar	0.20167245
abrigar	ação	0.20167245
boliviano	peruano	0.20147976
peruano	boliviano	0.20147976
espanhol	extraditar	0.20033144
extraditar	espanhol	0.20033144
gol	marcar	0.19979986
marcar	gol	0.19979986
bloqueio	impor	0.19855951
impor	bloqueio	0.19855951
fechamento	denunciar	0.19759277
comer	carne	0.1972964
carne	comer	0.1972964
pedido	desculpa	0.19691739
desculpa	pedido	0.19691739
fechamento	jornalista	0.19601216
sistema	eleitoral	0.19586545
eleitoral	sistema	0.19586545
comida	lixo	0.19548401
lixo	comida	0.19548401
concordar	justiça	0.19477492
milhão	apreender	0.19229244
apreender	milhão	0.19229244
decisão	expulsão	0.19221508
expulsão	decisão	0.19221508
obrigar	vacinar	0.19037799
vacinar	obrigar	0.19037799
fogo	caminhão	0.18992813
caminhão	fogo	0.18992813
parlamento	aprovar	0.18976614
aprovar	parlamento	0.18976614
mês	salário	0.18805865
salário	mês	0.18805865
dinheiro	apreender	0.18760339
apreender	dinheiro	0.18760339
colombiano	peruano	0.18737159
peruano	colombiano	0.18737159
semana	passado	0.18715554
passado	semana	0.18715554
sanção	impor	0.18695499
impor	sanção	0.18695499
pedir	desculpa	0.1864636
desculpa	pedir	0.1864636
seleção	convocar	0.18549919
convocar	seleção	0.18549919
lixo	disputar	0.18530156
disputar	lixo	0.18530156
pedir	asilo	0.18254504
asilo	pedir	0.18254504
justiça	extraditar	0.18226271
extraditar	justiça	0.18226271
recorde	ouro	0.1819668
alimento	remédio	0.18166232
remédio	alimento	0.18166232
boliviano	chileno	0.18154905
chileno	boliviano	0.18154905
organizar	trocar	0.18135906
programa	garota	0.17966479
garota	programa	0.17966479
ação	social	0.17796067
social	ação	0.17796067
diplomata	expulsar	0.177173
expulsar	diplomata	0.177173
sinal	lei	0.17547839
migratório	crise	0.17469128
lixo	cão	0.17440273
cão	lixo	0.17440273
operação	acolher	0.17417805
acolher	operação	0.17417805
contrato	empresa	0.17272512
oposição	diálogo	0.17081665
diálogo	oposição	0.17081665
petróleo	praia	0.17050939
praia	petróleo	0.17050939
postar	foto	0.16955439
prostituta	chamar	0.16950143
anular	decisão	0.16921717
armar	milícia	0.16886903
milícia	armar	0.16886903
urna	fraude	0.16833372
fraude	urna	0.16833372
casa	abrigar	0.16751822
abrigar	casa	0.16751822
problema	resolver	0.16646163
resolver	problema	0.16646163
reserva	petróleo	0.16632986
fraudar	urna	0.16623098
organizar	direito	0.16610639
regime	ditatorial	0.16561233
ditatorial	regime	0.16561233
argentino	boliviano	0.1655287
boliviano	argentino	0.1655287
suspeito	prender	0.16533004
financiar	chefe	0.16490545
chefe	financiar	0.16490545
processo	interiorização	0.16470489
interiorização	processo	0.16470489
vídeo	gostar	0.16463492
gostar	vídeo	0.16463492
gato	sobreviver	0.16369725
gato	cão	0.16369725
nordeste	origem	0.16301145
origem	nordeste	0.16301145
ajuda	caminhão	0.16242364
caminhão	ajuda	0.16242364
viver	pobreza	0.16165876
pobreza	viver	0.16165876
oposição	líder	0.16159742
líder	oposição	0.16159742
gravar	negar	0.16146557
negar	gravar	0.16146557
índio	chegada	0.16063887
chegada	índio	0.16063887
petróleo	nordeste	0.16030195
nordeste	petróleo	0.16030195
estado	golpe	0.15988053
golpe	estado	0.15988053
mandato	segundo	0.15951406
meia	atacante	0.15937093
atacante	meia	0.15937093
apoio	declarar	0.15933527
declarar	apoio	0.15933527
rejeitar	investigar	0.15901147
investigar	rejeitar	0.15901147
escassez	medicamento	0.15900249
sequestro	diplomata	0.15891133
virar	medo	0.15886762
medo	virar	0.15886762
pedido	crescer	0.15849329
crescer	pedido	0.15849329
partir	coração	0.15835893
coração	partir	0.15835893
chavista	inteligência	0.1583076
inteligência	chavista	0.1583076
recorde	bater	0.15778531
meia	contratação	0.1574835
contratação	meia	0.1574835
humanitário	caminhão	0.15747903
caminhão	humanitário	0.15747903
falta	medicamento	0.1572663
medicamento	falta	0.1572663
golpe	tentativa	0.15694915
tentativa	golpe	0.15694915
fronteira	fechar	0.1567663
fechar	fronteira	0.1567663
ano	clima	0.15564761
clima	ano	0.15564761
atacante	contratação	0.15550474
contratação	atacante	0.15550474
solidário	tanque	0.15468122
americano	norte	0.15439983
norte	americano	0.15439983
ajuda	precisar	0.15378803
precisar	ajuda	0.15378803
cubano	coreano	0.15345128
coreano	cubano	0.15345128
concordar	general	0.15259751
