file	fac1	fac2	fac3	fac4	fac5	fac6
t000000	2	-1	-1	0	0	0
t000001	-1	0	0	0	2	0
t000002	0	0	1	0	0	0
t000003	2	0	0	0	2	0
t000004	1	2	0	0	1	0
t000005	0	0	0	0	0	1
t000006	1	0	0	0	0	0
t000007	-1	0	0	0	1	0
t000008	0	0	0	0	0	0
t000009	0	0	0	0	1	0
t000010	1	-1	1	0	0	0
t000011	1	0	1	0	0	0
t000012	0	0	1	0	0	0
t000013	1	0	0	0	0	0
t000014	1	0	0	0	0	0
t000015	0	0	-1	0	3	0
t000016	0	-1	1	0	1	0
t000017	0	0	0	0	2	0
t000018	1	0	0	0	1	0
t000019	0	0	0	0	0	0
t000020	1	-2	0	0	0	0
t000021	0	0	0	0	3	0
t000022	1	0	1	0	0	0
t000023	1	-2	1	1	3	0
t000024	0	0	0	0	0	1
t000025	1	0	0	0	0	0
t000026	0	0	0	0	0	0
t000027	-3	0	0	0	0	0
t000028	0	0	1	0	1	0
t000029	0	0	0	0	0	0
t000030	0	0	1	0	2	0
t000031	0	0	0	0	2	0
t000032	1	-1	0	1	0	0
t000033	0	1	0	0	0	0
t000034	1	0	0	0	0	0
t000035	2	0	1	0	0	0
t000036	1	0	-1	0	0	0
t000038	0	0	1	-1	0	0
t000039	0	0	1	0	1	0
t000040	0	0	0	0	0	0
t000041	0	0	1	0	1	0
t000042	1	0	0	0	0	0
t000043	0	-1	0	0	-1	0
t000044	1	-1	3	0	0	0
t000045	0	0	-1	0	0	-1
t000046	2	-1	0	0	0	0
t000047	0	0	0	0	1	0
t000048	0	0	0	0	0	1
t000049	0	0	0	0	0	0
t000050	-1	0	0	0	0	0
t000051	0	0	0	0	1	0
t000052	0	0	-1	0	0	1
t000053	1	0	0	0	0	0
t000054	0	0	0	0	1	1
t000055	0	0	0	0	0	0
t000056	0	0	1	0	1	0
t000057	1	0	1	0	0	0
t000058	0	0	1	0	0	0
t000059	0	0	0	0	0	1
t000060	1	0	0	0	0	0
t000061	3	0	0	0	0	0
t000062	2	0	1	0	-1	0
t000063	-1	0	0	0	0	0
t000064	0	-1	1	0	0	0
t000065	0	0	2	0	0	0
t000066	0	0	0	0	0	1
t000067	-1	-1	1	0	0	-1
t000068	0	-1	0	0	2	0
t000069	0	0	1	0	0	0
t000070	0	0	1	1	1	0
t000071	-1	0	0	1	1	0
t000072	0	0	2	0	0	0
t000073	0	0	0	0	1	0
t000074	0	0	0	0	0	0
t000075	0	0	0	0	0	0
t000076	0	-3	1	1	0	0
t000077	2	0	0	-1	0	-1
t000078	0	0	0	0	0	0
t000079	-1	0	1	0	0	-1
t000080	1	0	-1	0	1	0
t000081	0	0	0	0	0	0
t000082	-2	0	2	0	0	0
t000083	1	0	0	0	-4	0
t000084	0	0	0	0	0	0
t000085	0	0	0	0	2	0
t000086	1	0	1	0	0	1
t000087	0	1	0	1	0	0
t000088	0	0	1	0	0	0
t000089	0	0	0	0	0	0
t000090	0	-1	0	-1	0	0
t000091	0	0	-1	0	3	0
t000092	0	0	0	0	0	0
t000093	1	0	0	0	0	0
t000094	0	0	0	0	1	0
t000095	0	0	2	0	0	-1
t000096	1	-1	0	0	0	-1
t000097	1	0	0	0	0	0
t000098	0	1	0	0	0	1
t000099	0	0	-1	0	0	0
t000100	1	-1	0	0	0	0
t000101	0	0	0	0	0	0
t000102	0	-1	1	0	0	0
t000103	0	0	0	0	1	0
t000104	1	0	0	0	1	0
t000105	0	1	0	0	0	0
t000106	-2	0	1	0	0	0
t000107	0	0	0	0	0	0
t000108	1	0	0	0	0	0
t000109	1	-1	0	0	0	0
t000110	0	0	0	0	0	1
t000111	-1	-1	0	0	0	-1
t000112	-1	-1	0	0	0	1
t000113	0	0	1	0	0	0
t000114	0	0	0	0	0	0
t000115	0	-2	-1	0	0	0
t000116	0	1	0	0	0	0
t000117	2	0	-1	0	0	0
t000118	1	0	0	0	0	0
t000119	0	-1	-1	0	0	0
t000120	0	0	0	0	1	0
t000121	0	1	0	0	0	0
t000122	0	0	0	0	0	0
t000123	0	0	0	0	0	0
t000124	0	0	0	0	0	0
t000125	0	0	1	0	0	-2
t000126	2	0	0	0	0	0
t000127	0	0	0	0	1	0
t000128	1	0	0	0	0	0
t000129	1	0	0	0	0	0
t000130	-2	0	2	0	0	-1
t000131	0	0	0	0	2	0
t000132	2	-1	0	0	0	-1
t000133	0	0	0	0	0	0
t000134	1	-2	0	0	0	0
t000135	0	1	1	0	0	0
t000136	0	0	0	0	0	0
t000137	1	1	0	0	0	0
t000138	0	-1	0	0	0	0
t000139	1	0	0	0	0	0
t000140	1	1	0	0	0	0
t000141	0	1	-1	0	1	1
t000142	-1	0	1	0	0	-1
t000143	0	0	0	0	0	0
t000144	1	0	0	0	0	0
t000145	0	0	0	0	0	-2
t000146	0	-1	1	1	1	0
t000147	-2	0	1	0	0	0
t000148	0	-1	1	0	0	0
t000149	0	0	1	0	1	0
t000150	0	2	1	0	0	0
t000151	1	0	-1	2	0	0
t000152	1	-1	0	0	0	0
t000153	1	0	0	0	0	0
t000154	1	1	0	0	0	0
t000155	3	1	0	0	0	0
t000157	0	-1	0	0	0	0
t000158	-1	0	1	0	0	0
t000159	1	1	0	0	0	0
t000160	2	0	-2	0	0	0
t000161	0	0	0	0	0	0
t000162	-1	-1	1	0	1	0
t000163	1	-1	2	0	0	0
t000164	0	0	1	0	1	0
t000165	0	0	0	0	0	0
t000166	0	0	0	0	2	0
t000167	-1	0	0	0	2	0
t000168	0	0	1	0	1	0
t000169	1	-2	0	0	0	0
t000170	0	0	0	1	0	0
t000171	0	0	1	0	0	0
t000173	2	0	0	0	0	0
t000174	0	0	0	0	0	-1
t000175	0	0	0	0	1	0
t000176	0	-1	0	0	0	0
t000177	2	0	0	0	0	0
t000178	1	0	0	0	0	0
t000179	0	0	-1	0	0	0
t000180	1	0	0	0	0	0
t000181	0	1	0	1	0	0
t000182	0	0	0	0	0	0
t000183	1	0	0	0	0	0
t000185	0	1	0	0	0	0
t000186	-1	-1	1	0	1	0
t000187	-2	0	2	0	0	0
t000188	-1	0	1	0	0	0
t000189	-2	0	1	0	0	0
t000190	0	0	0	0	0	0
t000191	0	0	0	0	0	0
t000192	-1	0	1	0	0	0
t000193	0	0	0	0	0	0
t000194	0	1	0	0	-1	0
t000195	0	0	0	0	0	0
t000196	0	-1	0	1	0	0
t000197	2	0	0	0	0	0
