_NAME_	COMMUNAL
v000001	1.3286310561
v000003	1.7354656814
v000897	1.9204069778
v000740	1.9322833612
v000005	1.9451882735
v000770	2.1169637076
v000887	2.1257644226
v000928	2.1687675841
v000804	2.1886146386
v000853	2.2237153478
v000861	2.2709572217
v000921	2.2775238017
v000611	2.2927679448
v000008	2.2979635868
v000570	2.3041073712
v000896	2.3203980095
v000947	2.324906141
v000872	2.3363530226
v000701	2.3396761656
v000884	2.344984219
v000798	2.3472449694
v000855	2.3570602737
v000387	2.3615393291
v000781	2.3669827597
v000557	2.3773154488
v000836	2.3858091773
v000607	2.3860220572
v000919	2.3894646253
v000738	2.3901759126
v000529	2.3923550855
v000922	2.4022020239
v000326	2.4119366698
v000997	2.4225690846
v000923	2.4355519046
v000945	2.4386703621
v000850	2.44385642
v000810	2.4445196843
v000642	2.4544786865
v000818	2.4638023944
v000957	2.4639304195
v000743	2.4641716034
v000621	2.4653693536
v000542	2.4667356828
v000490	2.4668619561
v000873	2.4673812002
v000730	2.4807185232
v000002	2.4889873297
v000710	2.4910075688
v000004	2.4926180461
v000829	2.4930509323
v000811	2.4963306229
v000814	2.5030448971
v000950	2.506302377
v000331	2.5081511198
v000971	2.5140705849
v000427	2.5297813627
v000753	2.5446139575
v000709	2.5522016868
v000318	2.5599264429
v000276	2.569121885
v000927	2.5734152513
v000860	2.5891191971
v000567	2.5902998579
v000854	2.5913206029
v000624	2.593107698
v000509	2.610132731
v000489	2.6113034356
v000725	2.6188147277
v000803	2.6190966167
v000976	2.6208601275
v000822	2.6231587071
v000613	2.6233378103
v000353	2.6259470636
v000555	2.6358406536
v000910	2.6426361154
v000879	2.6432272822
v000766	2.6465230472
v000545	2.6585497817
v000495	2.6602727736
v000691	2.6631267104
v000757	2.6664082934
v000715	2.6701485575
v000969	2.6714433377
v000177	2.6738466513
v000952	2.6760413633
v000007	2.6913276048
v000449	2.6934869373
v000521	2.6953931713
v000835	2.7001963893
v000746	2.7104695401
v000899	2.7123536569
v000571	2.7130595726
v000791	2.7149053547
v000064	2.7182750815
v000270	2.7199335036
v000236	2.7315321698
v000006	2.7431932834
v000507	2.7536259895
v000245	2.7644171552
v000232	2.7667917229
v000676	2.7679734434
v000453	2.7756737647
v000199	2.7757438367
v000807	2.7778771717
v000550	2.7847945397
v000587	2.7855889104
v000065	2.7900531194
v000011	2.7951034007
v000502	2.8034521342
v000616	2.8089389152
v000592	2.8182473483
v000858	2.8269223165
v000990	2.8286935278
v000597	2.8338614456
v000954	2.8345236805
v000788	2.8378064953
v000275	2.8409541967
v000787	2.8611102469
v000456	2.8683256354
v000277	2.8766942771
v000687	2.8867080005
v000442	2.8872301039
v000750	2.8921035178
v000480	2.8922584245
v000982	2.8950806398
v000367	2.8996771262
v000667	2.9008331749
v000233	2.906828313
v000317	2.9086324739
v000262	2.9127041389
v000009	2.9160338712
v000573	2.9164588754
v000692	2.9258972402
v000386	2.9263673819
v000419	2.9288344042
v000620	2.9317451038
v000213	2.9365938419
v000244	2.9426918473
v000968	2.9563172299
v000708	2.9567109594
v000185	2.9591731217
v000956	2.9615085665
v000311	2.9642902226
v000361	2.9652456687
v000012	2.9662396363
v000396	2.9803215912
v000951	2.9811774397
v000469	2.989318492
v000010	2.9954835212
v000148	3.0062704396
v000299	3.0113772824
v000337	3.0163165229
v000369	3.0166710236
v000229	3.0207715864
v000192	3.0208193797
v000783	3.0223840972
v000558	3.0224134596
v000049	3.0331922067
v000212	3.0347428381
v000448	3.0352936569
v000683	3.0384485035
v000653	3.0385346268
v000252	3.0394309188
v000645	3.0448661263
v000322	3.0490033113
v000364	3.0538831497
v000184	3.0623900002
v000585	3.0757798347
v000626	3.0803377526
v000328	3.0858293054
v000487	3.0917225537
v000249	3.0978206465
v000631	3.0994219001
v000374	3.1009409631
v000080	3.1116813856
v000349	3.116937923
v000473	3.1224126916
v000421	3.1323920669
v000248	3.1327595195
v000291	3.1340977364
v000172	3.1507243516
v000142	3.154418743
v000363	3.1567706129
v000356	3.164329129
v000088	3.1703244665
v000124	3.1794688302
v000158	3.1796027745
v000279	3.1952478408
v000269	3.2017863238
v000499	3.2055790193
v000379	3.2087050055
v000179	3.2143218806
v000549	3.2153712437
v000259	3.2157898997
v000501	3.2198372685
v000241	3.2273363462
v000281	3.2315098916
v000518	3.2345724757
v000017	3.2434291956
v000640	3.2524138098
v000568	3.2538966486
v000031	3.259164861
v000034	3.2642905234
v000152	3.2770619292
v000366	3.277712467
v000072	3.2858726855
v000222	3.2934810014
v000583	3.2947949186
v000230	3.2952064448
v000450	3.3029750471
v000105	3.3038175756
v000023	3.3171176483
v000493	3.32651462
v000149	3.3281076184
v000266	3.3300247804
v000171	3.3365520535
v000068	3.3462332667
v000209	3.350166778
v000055	3.3501985919
v000018	3.3519480794
v000406	3.3523507284
v000037	3.3569486791
v000019	3.3745008618
v000532	3.3749082644
v000243	3.3759982672
v000046	3.3760369119
v000258	3.376382673
v000116	3.3766073597
v000028	3.3766439823
v000288	3.3771617169
v000187	3.3798888049
v000110	3.3814852475
v000026	3.3873209941
v000193	3.3875835731
v000333	3.3950807341
v000013	3.3953624348
v000074	3.4023274289
v000295	3.4108467693
v000030	3.411485001
v000257	3.4137365376
v000368	3.4175606951
v000329	3.4226368741
v000371	3.4244577264
v000043	3.4300743877
v000066	3.4306439323
v000436	3.4353023446
v000182	3.4386544562
v000463	3.4518026348
v000155	3.4546356504
v000128	3.4602495212
v000070	3.4695916789
v000114	3.473420228
v000060	3.4787725755
v000022	3.4793337997
v000293	3.4838396489
v000039	3.4846088149
v000035	3.4847294741
v000014	3.4854174865
v000020	3.4867567897
v000056	3.4881662721
v000531	3.4927710326
v000435	3.492957504
v000100	3.4994136078
v000161	3.5000731087
v000215	3.5002300706
v000325	3.5013889984
v000373	3.5035857442
v000280	3.5145642858
v000050	3.5152875307
v000381	3.5204875255
v000497	3.5278487086
v000196	3.5338929076
v000025	3.5403761659
v000314	3.5459075607
v000082	3.5469489985
v000144	3.5536609653
v000375	3.5560685151
v000118	3.5606130768
v000126	3.560812702
v000052	3.5633111352
v000015	3.5653598391
v000283	3.5714931334
v000137	3.572090417
v000038	3.5743952236
v000169	3.5784094422
v000040	3.5968147778
v000234	3.6013652208
v000401	3.6023285179
v000474	3.6092979165
v000027	3.6211630228
v000167	3.6212154987
v000145	3.6274628117
v000204	3.638049685
v000104	3.6493452911
v000223	3.6550926076
v000141	3.6617168881
v000391	3.6632095173
v000189	3.6655231051
v000123	3.665819854
v000454	3.6739939945
v000202	3.6823921632
v000586	3.6830663142
v000107	3.6874767384
v000024	3.6996275919
v000073	3.700594407
v000108	3.7013133499
v000240	3.7040127657
v000051	3.7100013981
v000300	3.7247437929
v000260	3.7308073812
v000044	3.7317569056
v000021	3.7406636816
v000033	3.7429847581
v000067	3.7451634622
v000146	3.746936281
v000132	3.753961754
v000121	3.7549908049
v000135	3.7603197965
v000103	3.7609812239
v000075	3.7625534265
v000083	3.769386097
v000183	3.7772580899
v000096	3.788871233
v000139	3.798270013
v000238	3.8004832765
v000159	3.8057162903
v000125	3.8171753939
v000061	3.8380623011
v000136	3.8390452151
v000091	3.8453213988
v000112	3.8512612108
v000062	3.8635755968
v000041	3.8736098089
v000071	3.8992120565
v000069	3.9001815231
v000186	3.919410943
v000147	3.9234335407
v000085	3.9276041697
v000098	3.9387235985
v000468	4.0339702924
