df_index	text
011309	     Impressionante até um venezuelano implorando para que os brasil… 
017391	  #janonesamigodepedofilo pedofilo=pintouum clima = bozó tava com tesao pelas venezuelanas d… 
018924	  O que os Venezuelanos sentiram agora os argentinos estao sentindo ma pele.  É assim q tu quer ser tratado fora d… 
002397	  e  - rep da CNN sobre os passaportes venezuelanos comprados no Iraque.
017194	 - VENEZUELANA REFUTA FALA DE BOLSONARO E DIZ QUE CASA ABRIGAVA AÇÃO SOCIAL - 16/10.
002048	 Alguém duvida que não iria apoiar o coleguinha venezuelano?!
015850	 Caboverde continua interferindo na política venezuelana. Exigimos a libertação do prisionei… 
007636	 Este artigo analisa o impacto da crise migratória venezuelana sobre  Roraima e a região ama… 
005956	 Explicado porque os Venezuelanos estão no Brasil! 
001742	 Líder da oposição venezuelana deixa aeroporto após denunciar cerco 
003516	 Líder de oposição venezuelana Ledezma foge para a Colômbia, diz mídia - #Política #Últimas-… 
009010	 Notícias Representantes de 15 países discutem na Colômbia a crise venezuelana 
006280	 O povo Venezuelano foram enganado pelas Mentiradas Populista de Chaves. Hoje tão Arrependid… 
015528	 Os países que acolhem venezuelanos que abandonaram o país fugindo da crise política, económ… 
005095	 Países vão propor que FMI crie fundo para refugiados venezuelanos, diz Meirelles -… 
003948	 Sem comentário. Esquerda venezuelana é um bando d assassinos. @subeida1 @subeida1 @SakaSakamori @claudioedantas
002044	 boaventura de sousa santos sobre a crise venezuelana
011528	 lula-recebe-a-visita-de-chefao-do-trafico-venezuelano BOLSONARCOS? NÃO! PTNARCOS! Alguém do… 
010914	""" tá certo abrir as pernas para gringo mesmo , só não pode abrir para venezuelano , cubano ....""  Essa pessoa n tem cérebro mesmo"
004003	"""""""""""Eleição"""""""""""" Eu não creio que a oposição venezuelana ainda acha que eleição na Venezuela é livre de fraudes.… "
006999	"""""""Petroleo venezuelano comunista ditatorial da Shell""""""   Não tem governo, tem uns playboys de farra em Brasília só"
002205	"""'Oposição venezuelana quer derrubar Maduro da mesma maneira que queria derrubar Chávez'""  #política #feedly"
