RT rt_PROPN_Masc_Sing
@luciano_hang twitterhandle_PROPN_Sing
: :
Em em_ADP
Roraima roraima_PROPN_Fem_Sing
vimos ver_VERB_Fin_Plur
o o_DET_Masc_Sing
sofrimento sofrimento_NOUN_Masc_Sing
dos de_o_ADP_DET_Masc_Plur
Venezuelanos venezuelano_NOUN_Masc_Plur
. .
Mais mais_ADV
de de_ADP
3 3_NUM
milhões milhão_NOUN_Masc_Plur
já já_ADV
fugiram fugir_VERB_Fin_Plur
do de_o_ADP_DET_Masc_Sing
país país_NOUN_Masc_Sing
. .
No em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
eles eles_PRON_Masc_Plur
vivem viver_VERB_Fin_Plur
nas em_o_ADP_DET_Fem_Plur
ruas rua_NOUN_Fem_Plur
ou ou_CCONJ
em em_ADP
… …
