@zecapagodinho twitterhandle_VERB_Fin_Sing
@LulaOficial twitterhandle_ADJ_Fem_Sing
Gente gente_NOUN_Fem_Sing
a a_ADP
entrevista entrevista_NOUN_Fem_Sing
dos de_o_ADP_DET_Masc_Plur
VENEZUELANOS venezuelano_NOUN_Masc_Plur
, ,
no em_o_ADP_DET_Masc_Sing
canal canal_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Rica rica_PROPN_Masc_Sing
Perrone perrone_PROPN_Sing
( (
CARA cara_VERB_Fin_Sing
A o_DET_Fem_Sing
TAPA tapa_PROPN_Fem_Sing
) )
e e_CCONJ
um um_DET_Masc_Sing
diviso diviso_ADJ_Masc_Sing
… …
