RT rt_PROPN_Masc_Sing
@Vitor__RJ twitterhandle_VERB_Fin_Sing
: :
É ser_AUX_Fin_Sing
HASHTAG hashtag_PROPN_Masc_Sing
#fake_h #fake_h
que que_SCONJ
vídeo vídeo_NOUN_Masc_Sing
mostre mostrar_VERB_Fin_Sing
navio navio_NOUN_Masc_Sing
venezuelano venezuelano_ADJ_Masc_Sing
jogando jogar_VERB_Ger
óleo óleo_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
mar mar_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
Nordeste nordeste_NOUN_Masc_Sing
- -
Fato fato_PROPN_Masc_Sing
ou ou_CCONJ
Fake fake_PROPN_Fem_Sing
- -
G1 g1_PROPN_Fem_Sing
