RT rt
@oiluiz twitterhandle
: :
Relatório relatório
da de_o
Petrobras petrobras
, ,
após após
analisar analisar
23 23
amostras amostra
, ,
aponta apontar
que que
o o
petróleo petróleo
despejado despejar
no em_o
Nordeste nordeste
é ser
venezuelano venezuelano
. .
Leia ler
-se se
: :
Maduro maduro
, ,
… …
