RT rt_PROPN_Masc_Sing
@__Lorranna__ twitterhandle_VERB_Fin_Sing
: :
Caso caso_NOUN_Masc_Sing
das de_o_ADP_DET_Fem_Plur
meninas menino_NOUN_Fem_Plur
venezuelanas venezuelano_ADJ_Fem_Plur
( (
pintou pintar_VERB_Fin_Sing
um um_DET_Masc_Sing
clima clima_NOUN_Masc_Sing
) )
Guedes guedes_PROPN_Sing
e e_CCONJ
o o_DET_Masc_Sing
salário salário_NOUN_Masc_Sing
mínimo pequeno_ADJ_Masc_Sing
e e_CCONJ
agora agora_ADV
violência violência_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
bolsonarismo bolsonarismo_NOUN_Masc_Sing
, ,
não não_ADV
tem ter_AUX_Fin_Sing
co co_ADJ_Masc_Sing
… …
