RT rt_NOUN_Masc_Sing
@TheGodFather_75 twitterhandle_NUM
: :
Recado recado_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
Trump trump_PROPN_Masc_Sing
para para_ADP
os o_DET_Masc_Plur
militares militar_NOUN_Masc_Plur
venezuelanos venezuelano_ADJ_Masc_Plur
que que_PRON_Rel_Masc_Plur
defendem defender_VERB_Fin_Plur
o o_DET_Masc_Sing
ditador ditador_NOUN_Masc_Sing
Maduro maduro_PROPN_Masc_Sing
. .
Aço aço_NOUN_Masc_Sing
! !
! !
! !
oncoming_fist_light_skin_tone_e oncoming_fist_light_skin_tone_e
flag_brazil_e flag_brazil_e
flag_u flag_u
. .
s s_NOUN_Masc_Sing
. .
_outlying_islands_e _outlying_islands_e_VERB_Fin_Sing
flag_venezuela_e flag_venezuela_e
… …
