RT rt_NOUN_Masc_Sing
@brasil247 twitterhandle_NUM
: :
Um um_DET_Masc_Sing
mês mês_NOUN_Masc_Sing
e e_CCONJ
meio meio_NOUN_Masc_Sing
depois depois_ADV
, ,
vazamento vazamento_NOUN_Masc_Sing
ganha ganhar_VERB_Fin_Sing
destaque destaque_NOUN_Masc_Sing
na em_o_ADP_DET_Fem_Sing
mídia mídia_NOUN_Fem_Sing
, ,
que que_PRON_Rel_Fem_Sing
apostou apostar_VERB_Fin_Sing
na em_o_ADP_DET_Fem_Sing
origem origem_NOUN_Fem_Sing
venezuelana venezuelano_ADJ_Fem_Sing
do de_o_ADP_DET_Masc_Sing
óleo óleo_NOUN_Masc_Sing
