RT rt_PROPN_Masc_Sing
@NotiCampina twitterhandle_VERB_Fin_Sing
: :
HASHTAG hashtag_PROPN_Masc_Sing
#brasil_h #brasil_h
: :
Invasão invasão_NOUN_Fem_Sing
de de_ADP
HASHTAG hashtag_PROPN_Masc_Sing
#venezuelanos_h #venezuelanos_h
fugindo fugir_VERB_Part
de de_ADP
crise crise_NOUN_Fem_Sing
no em_o_ADP_DET_Masc_Sing
país país_NOUN_Masc_Sing
gera gerar_VERB_Fin_Sing
caos caos_NOUN_Masc_Sing
em em_ADP
HASHTAG hashtag_PROPN_Masc_Sing
#roraima_h #roraima_h
. .
HASHTAG hashtag_PROPN_Masc_Sing
#video_h #video_h
. .
v v_NOUN_Masc_Sing
… …
