@MarceloFreixo twitterhandle_NOUN_Masc_Sing
@CarvalhocJl twitterhandle_ADJ_Masc_Sing
@FlavioBolsonaro twitterhandle_ADJ_Masc_Sing
Freixo freixo_PROPN_Sing
apoia apoiar_VERB_Fin_Sing
o o_DET_Masc_Sing
ditador ditador_NOUN_Masc_Sing
genocida genocida_ADJ_Masc_Sing
. .
O o_DET_Masc_Sing
sangue sangue_NOUN_Masc_Sing
inocente inocente_ADJ_Masc_Sing
do de_o_ADP_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
venezuelano venezuelano_ADJ_Masc_Sing
está estar_AUX_Fin_Sing
nas em_o_ADP_DET_Fem_Plur
tuas tuas_ADJ_Fem_Plur
mãos mão_NOUN_Fem_Plur
tb tb_ADJ_Fem_Plur
