RT rt_NOUN_Masc_Sing
@Vigilan66356230 twitterhandle_NUM
: :
Na em_o_ADP_DET_Fem_Sing
empresa empresa_NOUN_Fem_Sing
onde onde_ADV
trabalho trabalhar_VERB_Fin_Sing
meu meu_DET_Masc_Sing
patrao patrao_NOUN_Masc_Sing
deu dar_VERB_Fin_Sing
emprego emprego_NOUN_Masc_Sing
a a_ADP
um um_DET_Masc_Sing
venezuelano venezuelano_NOUN_Masc_Sing
. .
. .
. .
Trabalhador trabalhador_ADJ_Masc_Sing
e e_CCONJ
alegre alegre_ADJ_Masc_Sing
. .
. .
Só só_ADV
nao nao_VERB_Fin_Sing
gosta gostar_VERB_Fin_Sing
de de_ADP
falar falar_VERB_Inf
sobre sobre_ADP
o o_DET_Masc_Sing
… …
