RT rt_NOUN_Masc_Sing
@ACNURBrasil twitterhandle_ADJ_Masc_Sing
: :
megaphone_e megaphone_e
No em_o_ADP_DET_Masc_Sing
Dia dia_NOUN_Masc_Sing
Mundial mundial_ADJ_Masc_Sing
da de_o_ADP_DET_Fem_Sing
Limpeza limpeza_PROPN_Fem_Sing
( (
18 18_NUM
/ /
09 @card@
) )
, ,
famílias família_NOUN_Fem_Plur
brasileiras brasileiro_ADJ_Fem_Plur
e e_CCONJ
venezuelanas venezuelano_ADJ_Fem_Plur
farão fazer_VERB_Fin_Plur
mutirão mutirão_NOUN_Masc_Sing
de de_ADP
limpeza limpeza_NOUN_Fem_Sing
em em_ADP
Boa boa_PROPN_Fem_Sing
Vista vista_PROPN_Sing
( (
RR rr_PROPN_Masc_Sing
) )
, ,
para para_ADP
… …
