RT rt
@NoticiaeGuerra twitterhandle
: :
O o
Kremlin kremlin
anunciou anunciar
hoje hoje
que que
o o
presidente presidente
russo russo
, ,
Vladimir vladimir
HASHTAG hashtag
#putin_h #putin_h
conversou conversar
por por
telefone telefone
com com
o o
líder líder
venezuelano venezuelano
Nicolas nicolas
… …
