as o_DET_Fem_Plur
pessoas pessoa_NOUN_Fem_Plur
chocadas chocar_VERB_Part_Fem_Plur
com com_ADP
o o_DET_Masc_Sing
vídeo vídeo_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
maduro maduro_ADJ_Masc_Sing
num em_um_ADP_DET_Masc_Sing
restaurante restaurante_NOUN_Masc_Sing
de de_ADP
luxo luxo_NOUN_Masc_Sing
na em_o_ADP_DET_Fem_Sing
turquia turquia_NOUN_Fem_Sing
enquanto enquanto_ADP
o o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
venezuelano venezuelano_ADJ_Masc_Sing
passa passar_VERB_Fin_Sing
fome fome_NOUN_Fem_Sing
… …
