Ao a_o_ADP_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
indica indicar_VERB_Fin_Sing
o o_DET_Masc_Sing
motivo motivo_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
detenção detenção_NOUN_Fem_Sing
dos de_o_ADP_DET_Masc_Plur
jornalistas jornalista_NOUN_Masc_Plur
pelo por_o_ADP_DET_Masc_Sing
ditador ditador_NOUN_Masc_Sing
Maduro maduro_PROPN_Masc_Sing
, ,
foi ser_AUX_Fin_Sing
vídeo vídeo_NOUN_Masc_Sing
de de_ADP
venezuelanos venezuelano_NOUN_Masc_Plur
comendo comer_VERB_Ger
lixo lixo_NOUN_Masc_Sing
, ,
iss iss_NOUN_Masc_Plur
… …
