RT rt_PROPN_Masc_Sing
@obolsonauta twitterhandle_VERB_Fin_Sing
: :
Essa esse_PRON_Fem_Sing
é ser_AUX_Fin_Sing
uma um_DET_Fem_Sing
foto foto_NOUN_Fem_Sing
real real_ADJ_Fem_Sing
de de_ADP
um um_DET_Masc_Sing
policial policial_ADJ_Masc_Sing
venezuelano venezuelano_NOUN_Masc_Sing
numa em_um_ADP_DET_Fem_Sing
operação operação_NOUN_Fem_Sing
contra contra_ADP
o o_DET_Masc_Sing
tráfico tráfico_NOUN_Masc_Sing
de de_ADP
comida comida_NOUN_Fem_Sing
. .
No em_o_ADP_DET_Masc_Sing
socialismo socialismo_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
assim assim_ADV
: :
é ser_AUX_Fin_Sing
proibid proibid_ADJ_Masc_Sing
… …
