RT rt_NOUN_Masc_Sing
@philosopop twitterhandle_ADJ_Masc_Sing
: :
gente gente_NOUN_Fem_Sing
. .
. .
. .
um um_DET_Masc_Sing
momento momento_NOUN_Masc_Sing
de de_ADP
solidariedade solidariedade_NOUN_Fem_Sing
com com_ADP
nossos nosso_DET_Masc_Plur
irmãos irmão_NOUN_Masc_Plur
Venezuelanos venezuelano_ADJ_Masc_Plur
que que_PRON_Rel_Masc_Plur
estão estar_AUX_Fin_Plur
agora agora_ADV
passando passar_VERB_Ger
o o_DET_Masc_Sing
7 7_NUM
X x_ADP
1 1_NUM
deles de_eles_ADP_PRON_Masc_Plur
. .
HASHTAG hashtag_PROPN_Masc_Sing
#ripvenez_h #ripvenez_h
… …
