RT rt_NOUN_Masc_Sing
@gracinha07 twitterhandle_NUM
: :
Olhem olhar_VERB_Fin_Plur
esse esse_DET_Masc_Sing
vídeo vídeo_NOUN_Masc_Sing
dessa de_esse_ADP_DET_Fem_Sing
venezuelana venezuelano_ADJ_Fem_Sing
relatando relatar_VERB_Part
fraude fraude_NOUN_Fem_Sing
nas em_o_ADP_DET_Fem_Plur
eleições eleição_NOUN_Fem_Plur
da de_o_ADP_DET_Fem_Sing
Venezuela venezuela_PROPN_Fem_Sing
. .
HASHTAG hashtag_PROPN_Masc_Sing
#brazilwasstolen_h #brazilwasstolen_h
HASHTAG hashtag_PROPN_Sing
#foralula_h #foralula_h
HASHTAG hashtag_PROPN_Sing
#vempraruabraz_h #vempraruabraz_h
… …
