RT rt_NOUN_Masc_Sing
@verinha_lucia17 twitterhandle_NUM
: :
Fronteira fronteira_NOUN_Fem_Sing
BRASIL brasil_PROPN_Masc_Sing
flag_brazil_e flag_brazil_e
VENEZUELA venezuela_PROPN_Sing
flag_venezuela_e flag_venezuela_e
Todos todo_DET_Masc_Plur
os o_DET_Masc_Plur
dias dia_NOUN_Masc_Plur
entram entrar_VERB_Fin_Plur
no em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
cerca cerca_ADV
de de_ADP
800 800_NUM
venezuelanos venezuelano_NOUN_Masc_Plur
fugindo fugir_VERB_Part
do de_o_ADP_DET_Masc_Sing
regime regime_NOUN_Masc_Sing
socialist socialist_NOUN_Masc_Sing
… …
