RT rt_PROPN_Masc_Sing
@marcusvsdm twitterhandle_VERB_Fin_Plur
: :
Maduro maduro_ADJ_Masc_Sing
janta janta_NOUN_Fem_Sing
no em_o_ADP_DET_Masc_Sing
caríssimo caro_ADJ_Masc_Sing
restaurante restaurante_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
 "  "
Salt salt_PROPN_Masc_Sing
Bae bae_PROPN_Sing
 "  "
enquanto enquanto_ADV
os o_DET_Masc_Plur
venezuelanos venezuelano_NOUN_Masc_Plur
morrem morrer_VERB_Fin_Plur
de de_ADP
fome fome_NOUN_Fem_Sing
. .
e e_CCONJ
comem comer_VERB_Fin_Plur
comida comida_NOUN_Fem_Sing
estragada estragado_ADJ_Fem_Sing
. .
Não não_ADV
s s_NOUN_Masc_Sing
… …
