RT rt_NOUN_Masc_Sing
@Movimentodirei3 twitterhandle_NUM
: :
Tacaram tacaram_VERB_Fin_Plur
fogo fogo_NOUN_Masc_Sing
na em_o_ADP_DET_Fem_Sing
Amazônia amazônia_PROPN_Fem_Sing
, ,
despejaram despejar_VERB_Fin_Plur
criminosamente criminosamente_ADV
petróleo petróleo_NOUN_Masc_Sing
crú crú_ADJ_Masc_Sing
de de_ADP
origem origem_NOUN_Fem_Sing
venezuelana venezuelano_ADJ_Fem_Sing
nas em_o_ADP_DET_Fem_Plur
praias praia_NOUN_Fem_Plur
do de_o_ADP_DET_Masc_Sing
nordeste nordeste_NOUN_Masc_Sing
, ,
estamos estar_AUX_Fin_Plur
… …
