RT rt_PROPN_Masc_Sing
@FedeBurguesia1 twitterhandle_PROPN_Sing
: :
5 5_NUM
dias dia_NOUN_Masc_Plur
atrás atrás_ADV
Bolsonaro bolsonaro_PROPN_Masc_Sing
disse dizer_VERB_Fin_Sing
que que_SCONJ
 "  "
pintou pintar_VERB_Fin_Sing
um um_DET_Masc_Sing
clima clima_NOUN_Masc_Sing
 "  "
entre entre_ADP
ele ele_PRON_Masc_Sing
e e_CCONJ
meninas menino_NOUN_Fem_Plur
venezuelanas venezuelano_ADJ_Fem_Plur
de de_ADP
14 14_NUM
anos ano_NOUN_Masc_Plur
A o_DET_Fem_Sing
fala fala_NOUN_Fem_Sing
viralizou viralizou_VERB_Fin_Sing
e e_CCONJ
ele ele_PRON_Masc_Sing
… …
