RT rt
@_AnnaStein twitterhandle
: :
Genteeee genteeee
face_with_open_mouth_e face_with_open_mouth_e
face_with_open_mouth_e face_with_open_mouth_e
face_with_open_mouth_e face_with_open_mouth_e
O o
exército exército
venezuelano venezuelano
tá estar
desertando desertar
e e
fugindo fugir
p p
/ /
Colômbia colômbia
. .
Generais general
sem sem
exército exército
, ,
não não
tem ter
força força
! !
oncoming_fist_e oncoming_fist_e
https://t.c https://t.c
… …
