RT rt
@playmaker_PT twitterhandle
: :
Osorio osorio
no em_o
dragon_e dragon_e
FC fc
Porto porto
: :
até até
hoje hoje
, ,
só só
um um
jogador jogador
flag_venezuela_e flag_venezuela_e
venezuelano venezuelano
jogou jogar
pelos por_o
portistas portista
: :
Victor victor
Garcia garcia
( (
7 7
jogos jogo
) )
… …
