RT rt_PROPN_Masc_Sing
@fpcoliveira twitterhandle_VERB_Fin_Sing
: :
Acreditaram acreditar_VERB_Fin_Plur
que que_SCONJ
um um_DET_Masc_Sing
time time_NOUN_Masc_Sing
hospedado hospedado_ADJ_Masc_Sing
no em_o_ADP_DET_Masc_Sing
Marriott marriott_PROPN_Masc_Sing
estava estar_AUX_Fin_Sing
sem sem_ADP
comer comer_VERB_Inf
. .
Dá dar_VERB_Fin_Sing
para para_ADP
inventar inventar_VERB_Inf
qualquer qualquer_DET_Fem_Sing
coisa coisa_NOUN_Fem_Sing
sobre sobre_ADP
venezuelano venezuelano_NOUN_Masc_Sing
que que_PRON_Rel_Fem_Plur
vão ir_VERB_Fin_Plur
… …
