RT rt_NOUN_Masc_Sing
@Zambelli2210 twitterhandle_NUM
: :
Atenção atenção_NOUN_Fem_Sing
! !
! !
Assista assistir_VERB_Fin_Sing
o o_DET_Masc_Sing
relato relato_NOUN_Masc_Sing
de de_ADP
um um_DET_Masc_Sing
venezuelano venezuelano_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
está estar_AUX_Fin_Sing
há há_ADP
1 1_NUM
ano ano_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
. .
Anote anotar_VERB_Fin_Sing
nossa nosso_DET_Fem_Sing
colinha colinha_NOUN_Fem_Sing
! !
backhand_index_pointing_down_light_skin_tone_e backhand_index_pointing_down_light_skin_tone_e
keycap_2_e keycap_2_e
keycap_2_e keycap_2_e
BOLSONARO bolsonaro_PROPN_Sing
Pre pre_VERB_Fin_Sing
… …
