RT rt_PROPN_Masc_Sing
@blogdojefferson twitterhandle_PROPN_Sing
: :
Ao a_o_ADP_DET_Masc_Sing
fechar fechar_VERB_Inf
as o_DET_Fem_Plur
fronteiras fronteira_NOUN_Fem_Plur
, ,
o o_DET_Masc_Sing
genocida genocida_ADJ_Masc_Sing
Maduro maduro_NOUN_Masc_Sing
está estar_AUX_Fin_Sing
condenando condenar_VERB_Part
o o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
venezuelano venezuelano_ADJ_Masc_Sing
a a_ADP
morrer morrer_VERB_Inf
de de_ADP
fome fome_NOUN_Fem_Sing
. .
Que que_SCONJ
tragédia tragédia_NOUN_Fem_Sing
as o_DET_Fem_Plur
forças força_NOUN_Fem_Plur
… …
