RT rt
@catleticomg twitterhandle
: :
chicken_e chicken_e
writing_hand_light_skin_tone_e writing_hand_light_skin_tone_e
Camisa camisa
HASHTAG hashtag
#10_h #10_h
NA na
ÁREA área
! !
O o
meia-atacante meia-atacante
venezuelano venezuelano
Jefferson jefferson
Savarino savarino
é ser
o o
novo novo
reforço reforço
do de_o
Galo galo
. .
