RT rt_PROPN_Masc_Sing
@nelsonpaffi twitterhandle_VERB_Fin_Sing
: :
Aguardando aguardar_VERB_Ger
o o_DET_Masc_Sing
 "  "
El el_PROPN_Masc_Sing
Pollo pollo_PROPN_Sing
 "  "
ser ser_AUX_Inf
extraditado extraditar_VERB_Part_Masc_Sing
aos a_o_ADP_DET_Masc_Plur
EEUU eeuu_PROPN_Masc_Sing
. .
ex-general ex-general
venezuelano venezuelano_ADJ_Masc_Sing
, ,
responsável responsável_ADJ_Masc_Sing
pelas por_o_ADP_DET_Fem_Plur
rotas roto_NOUN_Fem_Plur
de de_ADP
tráfico tráfico_NOUN_Masc_Sing
de de_ADP
drogas droga_NOUN_Fem_Plur
na em_o_ADP_DET_Fem_Sing
… …
