RT rt_NOUN_Masc_Sing
@MaraTellesReal twitterhandle_ADJ_Masc_Sing
: :
ABIN abin_NOUN_Masc_Sing
tendo ter_VERB_Ger
que que_SCONJ
fazer fazer_VERB_Inf
nota nota_NOUN_Fem_Sing
oficial oficial_ADJ_Fem_Sing
para para_ADP
explicar explicar_VERB_Inf
para para_ADP
Minions minions_NOUN_Masc_Plur
sobre sobre_ADP
Fake fake_PROPN_Masc_Sing
News news_PROPN_Sing
, ,
q q_NOUN_Masc_Sing
ñ ñ_ADJ_Masc_Sing
teve ter_VERB_Fin_Sing
ataque ataque_NOUN_Masc_Sing
de de_ADP
cubano cubano_ADJ_Masc_Sing
nem nem_CCONJ
venezuelano venezuelano_ADJ_Masc_Sing
… …
