RT rt_NOUN_Masc_Sing
@Pedro010763 twitterhandle_NUM
: :
@macunaimaz twitterhandle_VERB_Fin_Plur
Vamos ir_AUX_Fin_Plur
levar levar_VERB_Inf
os o_DET_Masc_Plur
milhares milhar_NOUN_Masc_Plur
de de_ADP
refugiados refugiado_NOUN_Masc_Plur
venezuelanos venezuelano_ADJ_Masc_Plur
que que_PRON_Rel_Masc_Plur
estão estar_AUX_Fin_Plur
no em_o_ADP_DET_Masc_Sing
país país_NOUN_Masc_Sing
para para_ADP
comemorar comemorar_VERB_Inf
com com_ADP
ela ela_PRON_Fem_Sing
, ,
afinal afinal_ADV
são ser_AUX_Fin_Plur
conter conter_VERB_Inf
… …
