RT rt_PROPN_Masc_Sing
@leleninist twitterhandle_PROPN_Sing
: :
sim sim_ADV
, ,
no em_o_ADP_DET_Masc_Sing
socialismo socialismo_NOUN_Masc_Sing
vão ir_AUX_Fin_Plur
mandar mandar_VERB_Inf
um um_DET_Masc_Sing
imigrante imigrante_NOUN_Masc_Sing
venezuelano venezuelano_ADJ_Masc_Sing
morar morar_VERB_Inf
na em_o_ADP_DET_Fem_Sing
sua seu_DET_Fem_Sing
casa casa_NOUN_Fem_Sing
e e_CCONJ
comer comer_VERB_Inf
o o_DET_Masc_Sing
cu cu_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
sua seu_DET_Fem_Sing
família família_NOUN_Fem_Sing
