RT rt_NOUN_Masc_Sing
@Jujuca1987 twitterhandle_NUM
: :
Bolsonaristas bolsonaristas_NOUN_Fem_Plur
NÃO não_ADV
SABEM saber_VERB_Fin_Plur
o o_PRON_Masc_Sing
que que_PRON_Int_Masc_Sing
fazer fazer_VERB_Inf
pra pra_ADP
lidar lidar_VERB_Inf
com com_ADP
a o_DET_Fem_Sing
fala fala_NOUN_Fem_Sing
dele de_ele_ADP_PRON_Masc_Sing
sobre sobre_ADP
' '
pintou pintar_VERB_Fin_Sing
clima clima_NOUN_Masc_Sing
' '
com com_ADP
meninas menino_NOUN_Fem_Plur
venezuelanas venezuelano_ADJ_Fem_Plur
. .
Damares damares_PROPN_Masc_Sing
e e_CCONJ
Prim prim_VERB_Fin_Plur
… …
