RT rt_PROPN_Masc_Sing
@OpressorZV twitterhandle_PROPN_Sing
: :
Venezuelana venezuelano_ADJ_Fem_Sing
se se_SCONJ
emociona emocionar_VERB_Fin_Sing
ao a_o_ADP_DET_Masc_Sing
falar falar_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
seu seu_DET_Masc_Sing
primeiro primeiro_ADJ_Masc_Sing
salário salário_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
e e_CCONJ
das de_o_ADP_DET_Fem_Plur
condições condição_NOUN_Fem_Plur
as elas_PRON_Fem_Plur
quais qual_PRON_Rel_Fem_Plur
vivia viver_VERB_Fin_Sing
na em_o_ADP_DET_Fem_Sing
Venezuela venezuela_PROPN_Fem_Sing
! !
flag_brazil_e flag_brazil_e
folded_hands_medium-light_skin_tone_e folded_hands_medium-light_skin_tone_e
https https_NOUN_Masc_Plur
: :
/ /
… …
