RT rt_PROPN_Masc_Sing
@choquei twitterhandle_VERB_Fin_Sing
: :
police_car_light_e police_car_light_e
GRAVE grave_PROPN_Sing
: :
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
diz dizer_VERB_Fin_Sing
que que_SCONJ
uma um_DET_Fem_Sing
vez vez_NOUN_Fem_Sing
já já_ADP
 "  "
pintou pintar_VERB_Fin_Sing
um um_DET_Masc_Sing
clima clima_NOUN_Masc_Sing
 "  "
entre entre_ADP
o o_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
e e_CCONJ
garotas garota_NOUN_Fem_Plur
venezuelanas venezuelano_ADJ_Fem_Plur
de de_ADP
14 14_NUM
anos ano_NOUN_Masc_Plur
. .
https://t https://t
… …
