RT rt
@professorigor twitterhandle
: :
25 25
militares militar
venezuelanos venezuelano
pediram pedir
asilo asilo
politica politicar
na em_o
Embaixada embaixada
Brasileira brasileira
. .
Viu ver
o o
que que
é ser
repressão repressão
@jeanwyllys_real twitterhandle
? ?
HASHTAG hashtag
#ven_h #ven_h
… …
