RT rt_NOUN_Masc_Sing
@Ruicpimenta29 twitterhandle_NUM
: :
Nota nota_NOUN_Fem_Sing
oficial oficial_ADJ_Fem_Sing
do de_o_ADP_DET_Masc_Sing
PCO pco_NOUN_Masc_Sing
: :
Todo todo_DET_Masc_Sing
apoio apoio_NOUN_Masc_Sing
ao a_o_ADP_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
venezuelano venezuelano_ADJ_Masc_Sing
contra contra_ADP
o o_DET_Masc_Sing
imperialismo imperialismo_NOUN_Masc_Sing
, ,
não não_ADV
ao a_o_ADP_DET_Masc_Sing
golpe golpe_NOUN_Masc_Sing
de de_ADP
Estado estado_NOUN_Masc_Sing
norte-americano norte-americano
! !
- -
Diá diá_PROPN_Masc_Sing
… …
