RT rt_NOUN_Masc_Sing
@Movimentodirei3 twitterhandle_NUM
: :
SALDO saldo_NOUN_Masc_Sing
DO de_o_ADP_DET_Masc_Sing
CRIME crime_PROPN_Masc_Sing
VENEZUELANO venezuelano_PROPN_Sing
: :
900 900_NUM
toneladas tonelada_NOUN_Fem_Plur
de de_ADP
resíduo resíduo_NOUN_Masc_Sing
de de_ADP
óleo óleo_NOUN_Masc_Sing
recolhidas recolher_VERB_Part_Fem_Plur
das de_o_ADP_DET_Fem_Plur
praias praia_NOUN_Fem_Plur
do de_o_ADP_DET_Masc_Sing
nordeste nordeste_NOUN_Masc_Sing
- -
um um_DET_Masc_Sing
mês mês_NOUN_Masc_Sing
e e_CCONJ
meio meio_NOUN_Masc_Sing
e e_CCONJ
nenh nenh_NOUN_Masc_Sing
… …
