RT rt_NOUN_Masc_Sing
@ACNURBrasil twitterhandle_ADJ_Masc_Sing
: :
Desde desde_ADP
2015 @card@
, ,
mais mais_ADV
de de_ADP
4 4_NUM
milhões milhão_NOUN_Masc_Plur
de de_ADP
refugiados refugiado_NOUN_Masc_Plur
e e_CCONJ
migrantes migrante_NOUN_Masc_Plur
da de_o_ADP_DET_Fem_Sing
HASHTAG hashtag_PROPN_Fem_Sing
#venezuela_h #venezuela_h
saíram sair_VERB_Fin_Plur
do de_o_ADP_DET_Masc_Sing
seu seu_DET_Masc_Sing
país país_NOUN_Masc_Sing
. .
A a_ADP
nível nível_NOUN_Masc_Sing
global global_ADJ_Masc_Sing
, ,
os o_DET_Masc_Plur
venezuelanos venezuelano_NOUN_Masc_Plur
… …
