RT rt_PROPN_Masc_Sing
@Letcia92205701 twitterhandle_PROPN_Sing
: :
A a_ADP
Esquerda esquerda_PROPN_Sing
é ser_AUX_Fin_Sing
criminosa criminoso_ADJ_Fem_Sing
e e_CCONJ
nociva nocivo_ADJ_Fem_Sing
! !
Óleo óleo_NOUN_Masc_Sing
venezuelano venezuelano_ADJ_Masc_Sing
nas em_o_ADP_DET_Fem_Plur
praias praia_NOUN_Fem_Plur
do de_o_ADP_DET_Masc_Sing
nordeste nordeste_NOUN_Masc_Sing
brasileiro brasileiro_ADJ_Masc_Sing
. .
. .
. .
falhando falhar_VERB_Part
HASHTAG hashtag_PROPN_Masc_Sing
#quemmandoumatarbo_h #quemmandoumatarbo_h
… …
