RT rt_PROPN_Masc_Sing
@RafaelFontana twitterhandle_VERB_Fin_Sing
: :
VIZINHOS vizinho_ADJ_Masc_Plur
DA de_o_ADP_DET_Fem_Sing
AMÉRICA américa_PROPN_Fem_Sing
Chegam chegar_VERB_Fin_Plur
a o_DET_Fem_Sing
Roraima roraima_PROPN_Fem_Sing
mais mais_ADV
de de_ADP
600 600_NUM
venezuelanos venezuelano_NOUN_Masc_Plur
por por_ADP
dia dia_NOUN_Masc_Sing
, ,
pesando pesar_VERB_Part
15 15_NUM
kg kg_NOUN_Masc_Plur
a a_ADP
menos menos_NOUN_Masc_Plur
que que_PRON_Rel_Masc_Plur
o o_DET_Masc_Sing
peso peso_NOUN_Masc_Sing
normal normal_ADJ_Masc_Sing
, ,
cita citar_VERB_Fin_Sing
o o_DET_Masc_Sing
… …
