RT rt_PROPN_Masc_Sing
@marinarossi twitterhandle_VERB_Fin_Sing
: :
Pernambuco pernambuco_PROPN_Masc_Sing
e e_CCONJ
Paraíba paraíba_PROPN_Fem_Sing
recebem receber_VERB_Fin_Plur
hoje hoje_ADV
115 115_NUM
solicitantes solicitante_NOUN_Masc_Plur
de de_ADP
refúgio refúgio_NOUN_Masc_Sing
e e_CCONJ
imigrantes imigrante_NOUN_Masc_Plur
venezuelanos venezuelano_ADJ_Masc_Plur
, ,
vindos vindos_VERB_Part_Masc_Plur
de de_ADP
Boa boa_PROPN_Fem_Sing
Vista vista_PROPN_Sing
. .
70 70_NUM
irão ir_AUX_Fin_Plur
para para_ADP
… …
