RT rt_NOUN_Masc_Sing
@BecaBrix twitterhandle_ADJ_Masc_Sing
: :
dim_button_e dim_button_e
Juan juan_PROPN_Sing
Guaidó guaidó_PROPN_Sing
fez fazer_VERB_Fin_Sing
um um_DET_Masc_Sing
apelo apelo_NOUN_Masc_Sing
para para_ADP
que que_PRON_Rel_Masc_Sing
a o_DET_Fem_Sing
população população_NOUN_Fem_Sing
venezuelana venezuelano_ADJ_Fem_Sing
se se_PRON
una unir_VERB_Fin_Sing
neste em_este_ADP_DET_Masc_Sing
momento momento_NOUN_Masc_Sing
em em_ADP
busca busca_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
democracia democracia_NOUN_Fem_Sing
. .
HASHTAG hashtag_PROPN_Masc_Sing
#23fayaudaylibertad_h #23fayaudaylibertad_h
… …
