RT rt_PROPN_Masc_Sing
@JoaoLuisDasDor2 twitterhandle_PROPN_Sing
: :
Para para_ADP
Presidente presidente_PROPN_Masc_Sing
LULA lula_PROPN_Sing
, ,
o o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
Venezuelano venezuelano_ADJ_Masc_Sing
, ,
tem ter_AUX_Fin_Sing
que que_SCONJ
ter ter_VERB_Inf
um um_DET_Masc_Sing
Ditador ditador_NOUN_Masc_Sing
, ,
eu eu_PRON_Masc_Sing
concordo concordar_VERB_Fin_Sing
Nós nós_PRON_Plur
temos ter_AUX_Fin_Plur
que que_SCONJ
ter ter_VERB_Inf
um um_DET_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
eleito eleger_VERB_Part_Masc_Sing
p p_NOUN_Masc_Sing
… …
