RT rt_PROPN_Masc_Sing
@MatheusSchuch twitterhandle_PROPN_Sing
: :
Atenção atenção_NOUN_Fem_Sing
. .
Dois dois_NUM
sargentos sargento_NOUN_Masc_Plur
venezuelanos venezuelano_ADJ_Masc_Plur
que que_PRON_Rel_Masc_Plur
estavam estar_AUX_Fin_Plur
atuando atuar_VERB_Ger
na em_o_ADP_DET_Fem_Sing
fronteira fronteira_NOUN_Fem_Sing
com com_ADP
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
fugiram fugir_VERB_Fin_Plur
do de_o_ADP_DET_Masc_Sing
país país_NOUN_Masc_Sing
e e_CCONJ
pediram pedir_VERB_Fin_Plur
abrigo abrigo_NOUN_Masc_Sing
aqui aqui_ADV
… …
