RT rt_NOUN_Masc_Sing
@damadanoite14 twitterhandle_NUM
: :
Venezuelanos venezuelano_ADJ_Masc_Plur
flag_venezuela_e flag_venezuela_e
fugindo fugir_VERB_Part
para para_ADP
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
flag_brazil_e flag_brazil_e
vídeo vídeo_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
de de_ADP
Pacaraima pacaraima_PROPN_Fem_Sing
09 @card@
/ /
08 @card@
/ /
2021 @card@
, ,
depois depois_ADV
de de_ADP
ontem ontem_ADV
para para_ADP
onde onde_ADV
os o_DET_Masc_Plur
Brasileiros brasileiro_NOUN_Masc_Plur
vão ir_AUX_Fin_Plur
… …
