RT rt_PROPN_Masc_Sing
@julianadalpiva twitterhandle_VERB_Fin_Sing
: :
Representação representação_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
PP pp_PROPN_Masc_Sing
diz dizer_VERB_Fin_Sing
que que_SCONJ
Bolsonaro bolsonaro_PROPN_Masc_Sing
falou falar_VERB_Fin_Sing
 "  "
pintou pintar_VERB_Fin_Sing
um um_DET_Masc_Sing
clima clima_NOUN_Masc_Sing
 "  "
com com_ADP
meninas menino_NOUN_Fem_Plur
venezuelanas venezuelano_ADJ_Fem_Plur
porque porque_SCONJ
pensou pensar_VERB_Fin_Sing
que que_SCONJ
elas ele_PRON_Fem_Plur
estavam estar_VERB_Fin_Plur
s s_NOUN_Masc_Sing
… …
