RT rt_PROPN_Masc_Sing
@rebecca09feito1 twitterhandle_PROPN_Sing
: :
Enquanto enquanto_ADV
a o_DET_Fem_Sing
Shakira shakira_PROPN_Fem_Sing
faz fazer_VERB_Fin_Sing
um um_DET_Masc_Sing
vídeo vídeo_NOUN_Masc_Sing
condenando condenar_VERB_Part
a o_DET_Fem_Sing
atitude atitude_NOUN_Fem_Sing
monstruosa monstruoso_ADJ_Fem_Sing
do de_o_ADP_DET_Masc_Sing
ditador ditador_NOUN_Masc_Sing
venezuelano venezuelano_ADJ_Masc_Sing
. .
No em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
 "  "
atores ator_NOUN_Masc_Plur
 "  "
como como_ADP
o o_DET_Masc_Sing
HASHTAG hashtag_PROPN_Masc_Sing
#ze_h #ze_h
… …
