RT rt_PROPN_Masc_Sing
@brunaobarreto twitterhandle_VERB_Fin_Sing
: :
09 @card@
/ /
03 @card@
: :
Bolsonaro bolsonaro_PROPN_Masc_Sing
diz dizer_VERB_Fin_Sing
ter ter_VERB_Inf
provas prova_NOUN_Fem_Plur
de de_ADP
que que_PRON_Rel_Masc_Sing
houve haver_VERB_Fin_Sing
fraude fraude_NOUN_Fem_Sing
nas em_o_ADP_DET_Fem_Plur
eleições eleição_NOUN_Fem_Plur
de de_ADP
2018 @card@
10 10_NUM
/ /
03 @card@
: :
Infraestrutura infraestrutura_NOUN_Fem_Sing
eleitoral eleitoral_ADJ_Fem_Sing
venezuelana venezuelano_ADJ_Fem_Sing
, ,
b b_NOUN_Masc_Sing
… …
