RT rt_PROPN_Masc_Sing
@linikerpapke twitterhandle_VERB_Fin_Sing
: :
O o_DET_Masc_Sing
Humberto humberto_PROPN_Masc_Sing
Bosta bosta_PROPN_Sing
acaba acabar_AUX_Fin_Sing
de de_ADP
postar postar_VERB_Inf
um um_DET_Masc_Sing
vídeo vídeo_NOUN_Masc_Sing
culpando culpar_VERB_Part
Bolsonaro bolsonaro_NOUN_Masc_Sing
pelo por_o_ADP_DET_Masc_Sing
petróleo petróleo_NOUN_Masc_Sing
venezuelano venezuelano_ADJ_Masc_Sing
nas em_o_ADP_DET_Fem_Plur
praias praia_NOUN_Fem_Plur
do de_o_ADP_DET_Masc_Sing
Nordeste nordeste_NOUN_Masc_Sing
brasileiro brasileiro_ADJ_Masc_Sing
. .
… …
