RT rt_PROPN_Masc_Sing
@SinaraEsteves twitterhandle_VERB_Fin_Sing
: :
@DeputadoFederal twitterhandle_ADJ_Fem_Sing
Venezuela venezuela_PROPN_Fem_Sing
eleva elevar_VERB_Fin_Sing
salário salário_NOUN_Masc_Sing
mínimo pequeno_ADJ_Masc_Sing
em em_ADP
66 66_NUM
, ,
66 66_NUM
% %
para para_ADP
R$ r$
15 15_NUM
, ,
14 14_NUM
por por_ADP
mês mês_NOUN_Masc_Sing
. .
O o_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
venezuelano venezuelano_ADJ_Masc_Sing
elevou elevar_VERB_Fin_Sing
o o_DET_Masc_Sing
salário salário_NOUN_Masc_Sing
… …
