RT rt_PROPN_Masc_Sing
@RafaelFontana twitterhandle_VERB_Fin_Sing
: :
Quase quase_ADV
2 2_NUM
milhões milhão_NOUN_Masc_Plur
de de_ADP
venezuelanos venezuelano_NOUN_Masc_Plur
fugiram fugir_VERB_Fin_Plur
do de_o_ADP_DET_Masc_Sing
país país_NOUN_Masc_Sing
em em_ADP
3 3_NUM
anos ano_NOUN_Masc_Plur
. .
Uma um_DET_Fem_Sing
tragédia tragédia_NOUN_Fem_Sing
humanitária humanitário_ADJ_Fem_Sing
no em_o_ADP_DET_Masc_Sing
nosso nosso_DET_Masc_Sing
quintal quintal_NOUN_Masc_Sing
. .
Maduro maduro_ADJ_Masc_Sing
era ser_AUX_Fin_Sing
fantoch fantoch_NOUN_Masc_Sing
… …
