RT rt_PROPN_Masc_Sing
@LibertadoresBR twitterhandle_PROPN_Sing
: :
waving_hand_e waving_hand_e
flag_venezuela_e flag_venezuela_e
Bem-vindos bem-vindos
! !
Os o_DET_Masc_Plur
venezuelanos venezuelano_NOUN_Masc_Plur
@ZamoraFutbolC twitterhandle_ADJ_Masc_Plur
e e_CCONJ
@Metropolitanos_ twitterhandle_ADJ_Masc_Plur
estão estar_AUX_Fin_Plur
classificados classificar_VERB_Part_Masc_Plur
para para_ADP
a o_DET_Fem_Sing
CONMEBOL conmebol_PROPN_Fem_Sing
HASHTAG hashtag_PROPN_Sing
#libertadores_h #libertadores_h
202 @card@
… …
