RT rt_PROPN_Masc_Sing
@em_com twitterhandle_VERB_Fin_Plur
: :
' '
PINTOU pintar_VERB_Fin_Sing
UM um_DET_Masc_Sing
CLIMA clima_NOUN_Masc_Sing
' '
Fala falar_VERB_Fin_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
( (
PL pl_PROPN_Masc_Sing
) )
sobre sobre_ADP
garotas garota_NOUN_Fem_Plur
venezuelanas venezuelano_ADJ_Fem_Plur
de de_ADP
14 14_NUM
e e_CCONJ
15 15_NUM
anos ano_NOUN_Masc_Plur
de de_ADP
idade idade_NOUN_Fem_Sing
repercutiu repercutir_VERB_Fin_Sing
nas em_o_ADP_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
e e_CCONJ
fic fic_NOUN_Fem_Sing
… …
