RT rt_NOUN_Masc_Sing
@ROSEMBE48672223 twitterhandle_NUM
: :
32 32_NUM
. .
000 @card@
Refugiados refugiado_NOUN_Masc_Plur
Venezuelanos venezuelano_ADJ_Masc_Plur
vivem viver_VERB_Fin_Plur
neste em_este_ADP_DET_Masc_Sing
acampamento acampamento_NOUN_Masc_Sing
em em_ADP
Boa boa_PROPN_Fem_Sing
Vista vista_PROPN_Sing
Roraima roraima_PROPN_Fem_Sing
que que_PRON_Rel_Masc_Plur
fugiram fugir_VERB_Fin_Plur
do de_o_ADP_DET_Masc_Sing
ditador ditador_NOUN_Masc_Sing
Socialista socialista_PROPN_Sing
amigo amigo_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
… …
