RT rt_PROPN_Masc_Sing
@ohenriqueandre twitterhandle_VERB_Fin_Sing
: :
flag_venezuela_e flag_venezuela_e
Meia meia_PROPN_Masc_Sing
Eduard eduard_PROPN_Masc_Sing
Bello bello_PROPN_Sing
, ,
da de_o_ADP_DET_Fem_Sing
Seleção seleção_NOUN_Fem_Sing
Venezuelana venezuelana_PROPN_Fem_Sing
e e_CCONJ
do de_o_ADP_DET_Masc_Sing
Antofagasta antofagasta_NOUN_Masc_Sing
, ,
começou começar_AUX_Fin_Sing
a a_ADP
seguir seguir_VERB_Inf
o o_DET_Masc_Sing
novo novo_ADJ_Masc_Sing
time time_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
chefe chefe_NOUN_Masc_Sing
Dudamel dudamel_PROPN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
Instagr instagr_PROPN_Sing
… …
