RT rt_PROPN_Masc_Sing
@BebelSherab twitterhandle_PROPN_Sing
: :
Pesquisa pesquisa_NOUN_Fem_Sing
na em_o_ADP_DET_Fem_Sing
Globo globo_PROPN_Fem_Sing
News news_PROPN_Sing
colocou colocar_VERB_Fin_Sing
Lula lula_PROPN_Masc_Sing
com com_ADP
21 21_NUM
% %
Bolsonaro bolsonaro_PROPN_Masc_Sing
11 11_NUM
% %
Tão tão_ADV
aprontando aprontar_VERB_Part
a o_DET_Fem_Sing
fraude fraude_NOUN_Fem_Sing
nas em_o_ADP_DET_Fem_Plur
urnas urna_NOUN_Fem_Plur
eletrônicas eletrônico_ADJ_Fem_Plur
venezuelana venezuelano_ADJ_Fem_Sing
