RT rt_NOUN_Masc_Sing
@ADRABrasil twitterhandle_ADJ_Masc_Sing
: :
O o_DET_Masc_Sing
núcleo núcleo_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
HASHTAG hashtag_PROPN_Fem_Sing
#adra_h #adra_h
no em_o_ADP_DET_Masc_Sing
Pará pará_PROPN_Masc_Sing
oferece oferecer_VERB_Fin_Sing
ajuda ajuda_NOUN_Fem_Sing
a a_ADP
migrantes migrante_NOUN_Masc_Plur
e e_CCONJ
refugiados refugiado_NOUN_Masc_Plur
venezuelanos venezuelano_ADJ_Masc_Plur
na em_o_ADP_DET_Fem_Sing
capital capital_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
Pará pará_PROPN_Masc_Sing
. .
HASHTAG hashtag_PROPN_Masc_Sing
#justiça_h #justiça_h
HASHTAG hashtag_PROPN_Sing
#compaixão_h #compaixão_h
e e_CCONJ
# #
… …
