RT rt_PROPN_Masc_Sing
@marcelo_jatoba twitterhandle_VERB_Fin_Sing
: :
Ouçam ouvir_VERB_Fin_Plur
o o_DET_Masc_Sing
recado recado_NOUN_Masc_Sing
de de_ADP
Luiz luiz_PROPN_Masc_Sing
, ,
venezuelano venezuelano_NOUN_Masc_Sing
refugiado refugiar_VERB_Part_Masc_Sing
no em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
. .
Ele ele_PRON_Masc_Sing
diz dizer_VERB_Fin_Sing
que que_SCONJ
na em_o_ADP_DET_Fem_Sing
Venezuela venezuela_PROPN_Fem_Sing
o o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
come comer_VERB_Fin_Sing
cachorros cachorro_NOUN_Masc_Plur
e e_CCONJ
ratos rato_NOUN_Masc_Plur
para para_ADP
nã nã_NOUN_Fem_Sing
… …
