RT rt_PROPN_Masc_Sing
@ThomasVConti twitterhandle_VERB_Fin_Sing
: :
Maduro maduro_ADJ_Masc_Sing
assumiu assumir_VERB_Fin_Sing
em em_ADP
2013 @card@
. .
Desde desde_ADP
então então_ADV
, ,
mais mais_ADV
de de_ADP
4 4_NUM
milhões milhão_NOUN_Masc_Plur
de de_ADP
venezuelanos venezuelano_NOUN_Masc_Plur
fugiram fugir_VERB_Fin_Plur
do de_o_ADP_DET_Masc_Sing
país país_NOUN_Masc_Sing
- -
é ser_AUX_Fin_Sing
a o_DET_Fem_Sing
maior grande_ADJ_Fem_Sing
crise crise_NOUN_Fem_Sing
de de_ADP
refugiados refugiado_NOUN_Masc_Plur
da de_o_ADP_DET_Fem_Sing
… …
