RT rt_NOUN_Masc_Sing
@VemPLutaBrasil twitterhandle_ADJ_Masc_Sing
: :
EUA eua_PROPN_Masc_Plur
bloqueiam bloquear_VERB_Fin_Plur
US$ us$
500 500_NUM
milhões milhão_NOUN_Masc_Plur
de de_ADP
vice-presidente vice-presidente
chavista chavista_ADJ_Masc_Sing
! !
! !
! !
E e_CCONJ
o o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
Venezuelano venezuelano_ADJ_Masc_Sing
passando passar_VERB_Ger
fome fome_NOUN_Fem_Sing
! !
HASHTAG hashtag_PROPN_Masc_Sing
#maduro_h #maduro_h
HASHTAG hashtag_PROPN_Sing
#venezuela_h #venezuela_h
ht ht_PROPN_Sing
… …
